"","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","S1.8","S1.9","S1.10","S1.11","S1.12","S1.13","S1.14","S1.15","S1.16","S1.17","S1.18","S2.1","S2.2","S2.3","S2.4","S2.5","S2.6","S2.7","S2.8","S2.9","S2.10","S2.11","S2.12","S2.13","S2.14","S2.15","S2.16","S2.17","S2.18","S3.1","S3.2","S3.3","S3.4","S3.5","S3.6","S3.7","S3.8","S3.9","S3.10","S3.11","S3.12","S3.13","S3.14","S3.15","S3.16","S3.17","S3.18","S4.1","S4.2","S4.3","S4.4","S4.5","S4.6","S4.7","S4.8","S4.9","S4.10","S4.11","S4.12","S4.13","S4.14","S4.15","S4.16","S4.17","S4.18","S5.1","S5.2","S5.3","S5.4","S5.5","S5.6","S5.7","S5.8","S5.9","S5.10","S5.11","S5.12","S5.13","S5.14","S5.15","S5.16","S5.17","S5.18"
"1",193.642155,288.1894326,283.9828301,276.6050442,361.2762659,373.7024174,353.3484797,399.7704372,398.4671005,369.5570105,402.6403348,408.8371578,326.7132712,395.5358623,396.1098772,340.202631,369.5061073,400.7930343,3.702036857,37.63347746,69.11101202,52.66908738,108.1433669,130.8363005,46.43701066,137.1586161,143.3438015,150.7601581,131.3428386,181.1483479,137.6600511,149.2079714,188.2668315,127.3414209,161.6482384,178.5802074,64.70534269,50.39558199,83.45010291,102.8877421,112.0085541,148.9897618,135.9819625,99.66879896,139.4269659,119.6083431,102.5675139,104.3817378,150.691668,108.0980947,110.8929135,157.0668651,107.7670751,114.213512,45.50460341,55.12227459,13.4527554,72.07136451,81.21085942,38.14766302,95.91845531,81.24411391,29.12746877,92.16641649,101.5121249,76.35998729,81.77694312,99.76299568,82.00856348,92.1317191,89.53466632,62.98553657,19.53523405,40.40417203,72.39737663,87.94137582,112.2552257,116.9678751,115.3140743,101.0803691,85.79614351,10.83805103,8.387403252,48.32358495,24.83774658,85.29427881,50.61431437,95.03075318,61.03403319,67.54731304
"2",209.2175926,310.9389366,300.9623477,298.6994473,361.0423535,372.2210764,372.3429889,397.0284476,393.2149731,386.3615183,400.4299895,407.6135299,339.3718431,394.9097123,395.753964,361.2127772,365.1614796,402.6262549,18.23864623,53.40837461,86.5331871,60.40334452,112.4810335,136.8749282,48.42500116,142.9314848,149.4315017,155.9783087,134.5715081,188.0580278,143.3077979,154.7328831,196.5198126,134.3273224,171.7158171,187.7215435,77.01765906,64.514067,96.5238089,106.5215793,115.2812513,157.5600419,141.4074331,102.2877153,142.1885169,127.5739277,108.1659595,109.8208163,159.3652363,115.5951002,119.4310756,170.6337383,117.3783255,122.3379938,59.0007219,70.84912592,29.68600906,69.6581092,81.0670701,46.58648491,97.21023381,82.4259007,35.04492648,98.33877254,104.5768228,83.67094191,86.85808125,105.6490524,88.92337721,99.79365345,93.46262821,74.49744073,32.83794921,53.21744682,84.17351925,101.8603106,124.1598107,134.2351934,129.927156,112.5309035,95.35368286,34.13649822,22.87497158,62.67421897,41.77349645,102.6278163,68.1906405,116.8865494,73.55518743,80.36516549
"3",221.9135635,327.6994984,315.9168102,306.677049,363.2886445,373.7412622,376.1789982,400.7209905,392.1081587,388.9155361,400.1100491,406.8242414,342.1059853,395.1868551,394.6100804,364.6836121,365.8005013,403.2684356,26.83555916,63.03960208,98.0059805,63.0041985,114.6616284,138.2330413,49.01905675,147.3008523,153.1329261,158.3207748,136.1291875,188.0384571,143.5967874,155.3020313,197.2371426,136.2521329,172.5700904,188.8404019,86.53270339,75.13654133,104.7902582,108.3785311,116.9365087,159.556268,144.2809117,105.1938335,142.6793004,127.7723234,108.4447779,111.417015,161.3407192,116.3773414,120.7586084,171.5130893,118.5736339,123.8926705,66.8072475,80.44724262,40.55880418,68.96250792,81.59941458,48.31536794,97.70457728,83.03194112,36.83599114,101.0382605,104.5946018,84.13311481,87.18629039,108.4371841,89.89080094,101.0620289,93.88207798,74.52332578,34.73222816,55.96884876,84.93271417,105.2964615,126.4274846,136.396786,131.9959707,113.9074435,97.00049356,39.7984758,25.3850791,64.18178292,43.59264944,104.5184426,71.42174698,118.9509915,75.6781664,82.24990502
"4",233.8279017,334.9692735,326.7715882,308.6307684,363.0254548,373.5868373,375.3654031,399.8345932,393.0502076,390.8587204,399.9505175,406.9552557,344.1861632,395.1850275,395.7354375,364.8372429,365.8092193,403.7589918,32.6030239,68.94051051,104.5253026,65.51459303,115.6459817,140.9737302,51.03406988,147.9666993,154.0398748,161.2378586,135.7968518,186.7195751,143.6078401,157.1207053,197.7266698,136.1499002,173.6279621,189.5699345,93.2108094,81.05248942,112.0226076,109.9797842,116.7569475,160.2775312,143.3537537,105.5894162,143.2955668,128.7338212,108.6068769,112.7253535,160.8708743,116.1242669,121.495738,173.7934452,120.5232255,124.9573531,68.76534882,86.20556221,45.89905679,69.07084054,80.93341419,49.12538079,97.62727325,82.5015483,37.51706204,102.7453147,104.8213927,83.82738256,86.56405806,108.0074623,89.10309895,101.7059555,93.38940381,73.92071559,35.34236745,57.209012,86.24125188,106.7858642,126.7673454,138.5439927,133.2644048,113.8713292,97.81307426,42.62844693,27.678536,65.76928733,45.70105535,105.5009788,72.56292321,121.1746632,78.15494031,84.16709488
"5",243.153433,344.5236292,335.1149314,309.3291108,363.5235433,374.0544065,375.8960043,400.4992234,391.374968,390.2907862,399.1396009,407.5798784,360.6974541,396.333216,395.6770147,365.9417982,366.7865164,403.5889042,38.43572245,75.95225787,112.500028,67.07132535,117.5832435,142.8094304,51.76180709,149.867011,154.7023501,160.3059623,135.6053801,186.7371446,143.6889116,157.1798979,199.4904538,136.9539442,174.556072,189.3664354,98.13066484,87.58864067,115.8779066,110.7065521,118.2550238,161.8549494,145.2695825,106.2301056,143.0754821,129.8717319,109.0862459,113.6297053,160.3957446,116.7410187,121.9838313,174.0664016,119.745722,126.1669711,74.08996841,89.92770304,51.04171298,68.56857679,80.540669,48.97406285,97.54602674,82.55709849,36.66209225,103.3531806,104.4132789,83.03340481,85.4263561,109.0713896,89.81191833,102.038112,92.68627085,74.86215052,36.39316509,59.36161498,86.49839052,107.7943091,127.6145303,139.9903477,135.292293,116.3850449,98.79045385,45.41497542,28.28604711,66.37817749,47.02829295,106.3104488,73.95055561,122.1119937,78.83337302,85.48485044
"6",245.9008323,352.8669478,341.1391957,311.0463331,365.4918465,374.3847254,376.9486176,402.6564966,394.5146887,393.3029847,402.0204041,408.1785488,364.2846323,396.7126544,396.892665,366.5260507,367.2598557,406.2551335,39.6260205,79.18696979,116.2661048,68.3752703,119.028904,144.3989423,52.9268905,151.6337632,156.4017955,165.2103263,137.2423918,187.3128659,145.4231028,158.5329111,199.2386333,137.7063061,176.1943387,189.8720203,102.6637554,90.46114917,120.1463499,112.043842,119.5954612,163.0630353,145.0649426,107.9184811,144.3443888,130.0537162,109.2139194,116.2290679,161.8627641,116.7074452,123.3536126,175.1188431,121.3117318,127.1167121,77.44054455,94.21762688,55.29889127,68.69765631,80.92432841,49.85931458,98.79728327,82.45926235,37.10232759,105.5376491,104.7234919,83.16819216,85.77238968,109.209268,89.637757,102.396541,93.65931045,75.80490341,36.52396063,59.5124913,89.01670667,108.8661143,127.7638493,141.1845241,135.1959284,117.4698048,99.66784293,47.27768289,30.01901372,68.67180155,48.27166878,108.6323899,75.83478533,123.8266236,79.42928245,86.36102794
"7",251.7054436,364.8498555,345.1915,310.1808496,365.9474398,376.221571,378.2977365,401.5830594,394.6462828,391.9753692,403.2650946,408.6287952,362.2007936,396.9798682,397.7358401,368.6360395,367.6435367,406.2792032,44.64641386,82.46249611,119.5642446,67.90396034,119.7224769,146.2741328,55.08246339,153.1105071,157.1757723,166.1947874,136.1426632,185.1371659,146.1720125,159.078266,199.3176143,138.3784211,175.7958178,191.0784519,106.2319645,94.90772642,124.118338,113.4981625,120.9767775,165.0077135,146.1120625,108.7189897,144.9021212,131.1086502,109.7327697,117.2260019,162.6704591,117.9968519,124.2230453,175.7788032,120.9722575,126.7095799,81.74531889,98.24147799,59.60296518,69.75679304,80.41141944,49.68015588,98.80899532,83.16900348,38.15924429,105.8956873,104.9411357,84.51321709,86.36190876,110.3711883,89.88532457,103.3411792,94.05195693,74.93246956,37.1296232,60.55533582,89.38409754,110.6751496,129.0145217,142.0931777,136.6615068,117.6606878,99.80885642,48.12222786,31.04322838,69.34020959,49.43065707,109.4393501,77.21973826,125.7099497,80.75590813,87.7318676
"8",253.5101243,366.3120543,347.9412227,311.4971906,365.3344393,376.3698628,378.5188546,403.232293,396.0295633,393.6301589,403.7448273,409.1117951,362.6994097,397.299816,398.90369,369.4329037,367.4150283,407.9108902,46.57148232,83.6234022,123.718884,70.32269524,120.4425702,146.3704635,54.74306563,153.8746772,158.1654561,167.0198891,135.0750511,182.4939614,146.0368532,160.0162672,199.5776555,139.4354827,177.7372684,193.8725075,108.276096,96.14969499,127.5625662,114.1164017,121.3882055,165.97789,146.2671883,110.4340435,145.4029535,133.3818915,110.5277632,118.2031022,162.9367202,118.1251288,124.2927471,176.822218,122.9560452,128.9012742,83.47501272,100.2674404,62.53355821,69.08900672,81.69387725,50.76043722,98.90033902,83.84416052,38.29650584,107.2211397,104.8840602,84.34018664,87.43905936,110.3767343,90.32819303,103.7883891,94.5233966,76.23069424,37.43806604,61.36878991,89.3459434,111.5933031,130.1476209,143.1688481,137.3176082,117.4938252,100.7317911,49.62368889,31.50259098,70.13172332,50.15285547,110.3764715,78.29974078,127.3104336,81.64731658,88.01926507
"9",260.7267422,369.3708732,354.7718547,310.6638621,365.4904795,376.6026694,378.1866394,401.8316636,394.6550195,391.9798853,403.5592701,407.0986383,362.5174511,397.1710294,397.276667,369.3759647,366.1898301,407.4477335,46.3072836,87.08750437,127.5399466,70.10569026,119.7236514,147.4951447,54.2443972,154.12449,157.4832605,166.7410604,132.5233902,182.2207272,146.6003775,159.3850087,201.0354913,139.0738325,178.1860276,192.1204762,110.2509521,97.78700913,128.6969501,115.1004651,121.8998969,166.8650543,147.1850917,110.7960893,145.5067411,133.5230072,110.9143255,118.6849757,162.7139627,118.1656221,125.2754063,176.8327401,122.7518096,128.9620465,86.60345226,103.382131,64.81171211,69.45394033,81.5533715,51.21178648,99.52565199,83.83116953,38.28837284,106.630979,104.7219858,84.26539458,86.80339543,111.0087668,90.85486247,103.9960655,94.48901375,75.50281323,38.33143184,63.08171905,90.78910884,113.4723431,129.7305233,144.1990356,138.1675011,118.3968859,101.21561,49.86018568,32.06009242,70.08584117,50.75826586,110.7826207,78.89791825,128.4629721,82.38549569,89.06056365
"10",258.2353411,376.3033375,355.8511647,311.6974837,366.9686018,376.1052153,379.034901,402.9514772,395.0255827,394.2971798,404.2410135,408.7871661,362.6976678,398.1640994,398.3616948,370.4256607,366.7315636,407.3954543,48.83286075,89.61787383,128.7983355,72.3743533,120.9489408,148.5934345,54.88135754,154.6662748,158.7888725,168.1834624,132.841997,179.4168209,146.6203707,159.6527906,201.1251472,140.359299,178.4925269,192.7232263,112.5567871,101.1408473,130.8207886,117.0980278,123.1965512,167.25947,147.4949184,111.3638909,147.1358605,134.00954,111.6409655,119.8672512,163.4728792,119.2474859,124.9965342,178.4724512,123.4592166,130.2308448,87.97334908,104.0359131,67.11186681,69.90506705,82.36915263,51.48196565,100.8146071,84.69939783,39.0759694,109.2629608,106.6128422,86.3820155,87.37681371,111.7552025,91.01966615,104.8692102,95.42647761,76.42257231,38.79143742,77.89558901,91.29453615,113.9266772,131.5062832,145.2720549,139.0784675,119.1761872,102.0447041,50.1869138,33.52283599,71.74348745,51.92037646,111.6629659,79.72366517,128.8574556,83.78004391,90.46588087
"11",261.5050866,377.1325943,358.3210359,311.5166184,368.4485599,375.8661763,379.433382,403.1140798,396.5174991,395.474885,404.8147352,410.0758568,363.0482002,398.7467947,400.0606216,371.6469076,366.99354,409.4496168,50.52194336,91.33982459,131.4484654,72.65331923,121.354422,149.6564547,55.00994867,155.8118294,159.5973338,167.8674,138.3106442,177.5138861,147.135037,160.1771611,201.0843615,140.3217283,179.553541,193.9297611,115.4412051,102.2349862,133.8362019,116.5472275,123.8396116,168.3054736,147.3253084,111.3529769,147.2194786,134.4415794,112.2689869,120.5795324,164.4418424,119.6970327,126.7076018,179.0508946,123.2304569,130.998625,90.41552576,106.4978789,70.27377173,70.10713044,82.39284388,52.58981906,100.7716917,85.45277197,39.49770762,108.6782704,106.3265945,85.86203393,88.57382234,111.770731,91.21219579,106.2187417,95.86931712,77.15789373,39.28903764,79.31781127,92.63385682,116.6199001,132.6931971,146.8123118,140.4196974,120.5615935,103.8109425,51.42396735,33.79315352,72.04254522,53.90821038,113.1707739,80.39305029,132.3927918,85.0702518,91.11959055
"12",265.9691041,385.496873,363.4567191,312.1750642,368.1302292,378.3582168,379.0061886,402.6970846,397.1185196,395.9179534,405.3170034,410.918951,363.1258356,400.8392435,400.0412352,371.873583,366.3983043,410.3605229,52.18406664,92.98408247,133.5004881,74.39809539,121.7102411,148.4052005,56.06742373,156.1552669,160.0346112,169.0910384,157.6789392,172.909199,147.6241892,160.5477328,202.3800361,141.5529279,181.2149078,194.4515028,115.4461602,104.5914011,135.3902419,116.4897745,123.3860718,168.9280262,147.681595,112.189908,147.4375686,133.2022739,112.2194858,120.8542933,163.224648,119.8610366,127.7509953,180.5968781,124.373897,132.1486268,91.61361189,108.2603901,74.10580825,69.71868636,83.18830262,52.93911963,100.7189772,84.97383655,39.66401514,109.4950939,107.250038,86.83445045,88.33105968,112.1177211,91.96250722,106.3862882,95.96435856,76.96439883,38.97106721,80.79138579,94.15300545,117.2541879,133.1929215,147.0415755,139.9438691,121.509712,103.2136078,52.22529315,34.49938317,73.63444534,54.60720378,113.6488824,82.59657873,133.6438878,86.13145435,91.71962239
"13",268.3235801,384.2256204,364.1523902,313.7936379,368.2522388,379.3982088,380.1437085,405.0039957,397.5437737,396.5240203,406.6693135,410.9690187,364.2736202,400.2777892,401.4243184,371.5852397,365.5963587,410.5990755,54.68564246,94.8782891,135.1694024,74.13724487,124.3743626,150.7844292,57.13215024,156.479953,160.5742651,169.6968751,159.8884246,170.2022941,148.1484793,161.4854411,202.9421677,142.3957531,180.8715986,193.7597206,117.2004468,106.1147092,135.9890347,116.669994,124.4443251,170.8463803,148.0670767,112.1866557,149.7814206,134.4266988,111.4753709,121.2202143,163.9988528,119.4328629,127.6753741,180.1605575,124.7212774,132.6710691,91.79824357,108.0502799,74.5634711,70.51814083,82.315637,52.16915999,101.14152,85.3490047,39.94945401,109.8471716,106.9652765,86.8883699,87.82258945,113.0321401,91.48093065,105.6707401,95.5426126,76.11405842,39.60245082,82.29637877,93.44777897,117.5120576,133.2255981,146.7644926,141.5314777,120.8081213,104.4598231,51.77474157,36.06654905,74.14956255,54.16222403,114.5843464,83.14599447,133.6349759,86.16515475,92.25438403
"14",273.03419,387.7134678,365.5106935,314.2742791,370.2663949,379.5152745,382.3815625,405.9696937,399.3068115,398.6986327,408.5762456,411.9328136,365.4067171,403.3714657,402.5669115,373.151314,367.0506716,411.8801995,54.61577966,97.44869115,137.3705845,74.24942465,125.7479861,152.7153392,57.00380133,157.4758186,161.0727575,169.6753632,161.5976094,167.420171,148.1696074,161.2791735,203.3184834,142.1735463,180.6055452,195.0625528,118.5666655,107.3038147,138.3969718,117.506349,124.7912858,171.0518047,148.0705077,112.5509926,150.8274305,134.8865612,112.0021539,122.2780889,164.3359948,120.5795408,128.063582,181.1852418,124.8325838,131.7980062,93.16954296,111.4886049,75.89751804,70.69670534,82.67426509,52.79113974,101.9548731,85.28555335,39.76305077,110.7221028,106.6652861,87.10247121,89.28269624,113.1452251,92.01413023,106.6162167,96.2439159,76.78900741,39.53195076,81.36037299,93.46085006,118.2453199,133.3998803,147.7273743,141.1251517,121.8808285,104.2281549,53.21064038,35.48474976,74.35982542,54.31309369,114.5980786,82.99245995,135.2803572,86.52155441,92.18652123
"15",274.9183154,390.0468348,372.0730705,315.8264821,371.8222647,379.7878699,384.095483,407.6257183,399.4801183,399.8365862,409.8899428,413.5083655,365.4896119,403.0949483,402.2714132,375.7116394,367.5779661,413.0518234,53.17152942,98.67349074,137.2103694,75.26257971,124.5766173,151.6860702,55.78541059,157.0853394,160.586974,170.8325222,161.3769166,165.9029554,148.1976307,160.9854169,202.0997389,142.5343623,180.9597053,194.8567128,119.7484194,107.2248285,137.013833,117.5513032,124.1681412,169.5871458,147.6098422,112.1628805,149.6897061,133.2321341,111.9012859,122.5351317,164.1247765,119.1506668,127.9484054,181.4811956,125.0553956,133.0033737,92.31330957,110.8191542,76.95242306,70.21410016,82.95211043,52.35988536,100.7679204,84.90710501,39.86662665,110.3773112,107.414335,86.52822928,88.03821042,112.8798992,91.1688293,106.3380248,95.78873001,76.79240977,39.75542047,82.18670681,93.8067693,117.9334622,133.9387672,147.5414531,139.2870123,121.3381909,104.0724898,53.24226488,35.70252942,75.42541621,55.31125734,114.1612987,84.05544505,135.8706596,87.16944113,93.12669025
"16",281.7957927,397.8518752,375.3767529,320.7978695,377.5792284,387.3160406,389.6182579,412.9693897,406.124469,405.9324223,415.9142357,419.2584773,371.6835296,407.9160305,408.6984071,381.5096208,372.2190776,418.6570956,58.92912992,100.1622682,139.9899008,76.97318803,127.4244081,154.7222832,57.99084181,159.747722,163.4099793,171.6786072,162.9523805,163.7979432,149.2128054,162.3685231,204.0771463,143.7596224,183.4764492,196.9783469,120.9768914,108.8600203,138.9490232,117.7840982,125.4578863,171.6154423,148.413323,112.4717963,150.5289125,135.0032763,111.6965378,122.966297,164.5468286,119.8362652,128.6586927,181.3757203,125.5714721,134.233846,93.50401766,111.2203294,78.31925374,70.90437528,83.15858696,53.34740188,101.7278629,86.02274083,41.26194922,111.1671965,107.3984604,87.96286314,88.35080386,113.3789486,91.74072145,106.8668682,96.49650382,76.59614774,40.503854,83.10628756,94.17206231,119.8958414,134.3305213,148.6644449,141.7861844,122.5600201,104.9134334,53.54205662,35.83954667,75.12360472,55.67622371,115.5975084,84.71880473,136.1750577,87.29053596,93.48771505
"17",291.9236453,406.7125587,391.5047423,332.8745091,393.2029486,401.7837473,403.2190407,429.9603348,424.3181242,422.4580075,431.5849323,435.8022662,388.1509316,424.9907413,423.5507905,395.7751715,385.8492962,433.4153651,63.20927823,105.9301452,143.5931829,80.56367881,131.9981121,158.005922,62.197707,163.1813929,165.8383818,175.9575095,167.709842,164.9262402,153.5915795,166.8780016,208.0150976,147.3174736,187.5049409,202.0476677,123.499451,111.4930393,142.0347928,120.5972919,127.6231997,173.1188788,150.7917319,114.6987478,153.6185662,136.6500771,114.3198988,125.7091335,167.1017633,122.0470312,131.6042914,183.9984867,126.9309241,135.8164741,94.63610664,112.9107798,80.49855584,71.50021655,83.11546906,55.3768301,103.1921801,86.4619112,41.57485024,112.9994429,108.5168003,89.80072626,90.7459709,114.3962257,93.29151602,107.5385606,97.3864273,77.68312767,41.05150713,84.51511111,95.79710717,121.067354,137.0406504,149.5633321,142.2709551,123.7517825,106.7964777,54.8611418,37.50370413,76.7981384,56.21764467,116.0666082,85.65533242,137.6920087,88.72555868,94.71115903
"18",312.8072959,430.7579852,412.7825761,353.8431803,416.4623317,428.4381837,427.9434287,454.0367218,449.6223643,447.1290536,454.5708274,460.7587694,410.3058305,448.3339621,448.3604601,418.7530939,408.3725504,457.2396607,70.77633623,111.6319239,149.9517041,86.29539184,136.6347211,162.3132672,67.16381115,168.4953428,171.237075,181.19437,172.7800646,166.7888145,157.968692,171.0953203,212.8604129,151.006288,191.5507782,205.675117,125.596007,112.0801776,142.026571,120.1196075,128.7752839,174.6949156,151.1889393,115.3945565,153.8425456,137.1536507,115.3485846,126.5244883,167.1028465,122.2922364,131.7605339,184.4561512,128.0326635,135.9901994,95.67195493,113.3281198,81.36032722,71.19055182,83.94529218,54.25997034,102.3998362,86.49344703,40.59776447,112.5144161,108.8834696,88.93346009,89.64061762,113.59934,92.61613884,107.9319007,97.04433294,77.22550234,41.18460428,85.51003899,96.00682924,122.8127833,136.5077409,150.0267915,143.3241066,123.2149701,106.4542219,54.68394955,38.01841902,77.10505643,58.44994698,117.0141612,85.55646683,139.6100077,90.05542754,94.64720089
"19",353.2469229,472.3000949,451.6097313,394.0707753,463.4452443,477.251797,475.4342488,503.2975022,502.8705836,495.3095674,503.3829281,510.5236405,454.0774597,495.0614195,494.1476668,465.8214686,449.5701666,503.1896959,78.21963805,121.1969797,160.5585505,96.25608578,146.7788664,173.0704393,76.78392082,177.256515,179.8382888,190.7307872,182.9959257,170.7201015,168.0233224,179.9264244,221.4156508,159.674158,202.0687669,214.4749393,126.7510391,114.3606966,144.4166231,123.1057642,131.3723658,176.8399317,153.7049784,118.0406582,155.7356013,139.9602969,116.0193997,128.0386916,167.862475,124.3580032,133.1662896,186.3854754,130.5838604,138.2701601,95.94203904,113.6458539,82.47607362,72.02181977,84.01494785,54.27256998,102.735581,86.56805758,41.29273708,113.3734699,109.8940815,89.65887766,90.05282016,114.4584856,93.22068363,108.322312,97.57455523,77.8488617,41.31542558,86.29153552,96.58842954,122.5089232,135.7975044,151.2178149,143.3685221,124.1293429,107.1320658,55.10813061,38.46930327,77.29734109,58.74849758,117.8635267,86.51116207,139.0665605,90.15298274,95.33651797
